resultId,circuitID,Weather,raceId,driverId,constructorId,positionOrder,laps,pit_id,pit stops duration,# of pitstops,quali_ position
23782,1,0,989,20,6,1,58,989-20,21.787,1,3
23783,1,0,989,1,131,2,58,989-1,21.821,1,1
23784,1,0,989,8,6,3,58,989-8,21.421,1,2
23785,1,0,989,817,9,4,58,989-817,21.44,1,5
23786,1,0,989,4,1,5,58,989-4,22.573,1,11
23787,1,0,989,830,9,6,58,989-830,20.953,1,4
23788,1,0,989,807,4,7,58,989-807,22.628,1,8
23789,1,0,989,822,131,8,58,989-822,21.664,1,10
23790,1,0,989,838,1,9,58,989-838,22.474,1,12
23791,1,0,989,832,4,10,58,989-832,23.868,1,9
23792,1,0,989,815,10,11,58,989-815,22.327,1,13
23793,1,0,989,839,10,12,58,989-839,21.854,2,15
23794,1,0,989,844,15,13,58,989-844,22.242,2,18
23795,1,0,989,840,3,14,58,989-840,25.504,2,14
23796,1,0,989,843,5,15,57,989-843,22.213,1,16
23797,1,0,989,154,210,16,24,989-154,23.054,1,7
23798,1,0,989,825,210,17,22,989-825,21.983,0,6
23799,1,0,989,842,5,18,13,989-842,50,0,20
23800,1,0,989,828,15,19,5,989-828,50,0,17
23801,1,0,989,845,3,20,4,989-845,50,1,19
23802,3,0,990,20,6,1,57,990-20,24.524,1,1
23803,3,0,990,822,131,2,57,990-822,26.105,1,3
23804,3,0,990,1,131,3,57,990-1,24.302,2,4
23805,3,0,990,842,5,4,57,990-842,24.835,2,6
23806,3,0,990,825,210,5,57,990-825,25.106,2,7
23807,3,0,990,807,4,6,57,990-807,24.454,2,8
23808,3,0,990,4,1,7,56,990-4,24.993,2,13
23809,3,0,990,838,1,8,56,990-838,25.081,1,14
23810,3,0,990,828,15,9,56,990-828,25.194,2,17
23811,3,0,990,839,10,10,56,990-839,24.719,2,9
23812,3,0,990,832,4,11,56,990-832,25.768,2,10
23813,3,0,990,844,15,12,56,990-844,25.563,3,19
23814,3,0,990,154,210,13,56,990-154,25.011,2,16
23815,3,0,990,840,3,14,56,990-840,33.612,2,20
23816,3,0,990,845,3,15,56,990-845,24.672,2,18
23817,3,0,990,815,10,16,56,990-815,24.992,2,12
23818,3,0,990,843,5,17,56,990-843,36.646,1,11
23819,3,0,990,8,6,18,35,990-8,25.018,1,2
23820,3,0,990,830,9,19,3,990-830,30.381,0,15
23821,3,0,990,817,9,20,1,990-817,50,2,5
23822,17,0,991,817,9,1,56,991-817,23.042,1,6
23823,17,0,991,822,131,2,56,991-822,22.097,1,3
23824,17,0,991,8,6,3,56,991-8,22.913,1,2
23825,17,0,991,1,131,4,56,991-1,22.464,2,4
23826,17,0,991,830,9,5,56,991-830,22.715,2,5
23827,17,0,991,807,4,6,56,991-807,23.654,1,7
23828,17,0,991,4,1,7,56,991-4,24.11,1,13
